,sample1,sample2,AMT_score
248,S016C003P040R001A040,S027C002P011R002A096,1.666666667
249,S003C001P018R001A027,S006C002P022R002A027,3.5
250,S010C001P013R002A009,S012C001P019R002A027,1.2
251,S031C001P099R001A080,S005C002P016R002A048,1.222222222
252,S001C002P006R002A023,S004C003P003R001A023,3.3
253,S002C003P014R001A035,S012C003P037R001A035,2.8
254,S032C001P105R002A097,S017C001P009R002A022,1.3
255,S006C001P023R002A008,S006C003P024R001A048,1.2
256,S017C001P003R001A039,S002C002P012R002A039,3.6
257,S024C003P061R001A100,S030C002P096R002A100,3.9
258,S027C001P081R002A080,S023C003P061R001A080,3.1
259,S027C003P086R001A080,S002C002P010R002A048,1.1
260,S026C001P071R002A080,S005C002P016R002A048,1.1
261,S001C001P006R001A040,S011C001P038R001A040,3.3
262,S002C001P012R001A048,S003C003P002R001A048,2.7
263,S032C001P105R002A104,S012C001P028R002A040,1.181818182
264,S008C001P029R001A009,S008C001P036R001A048,1.2
265,S013C001P027R001A026,S012C001P019R002A027,1.4
266,S009C003P007R001A026,S027C001P083R001A099,1.1
267,S027C002P011R002A098,S024C001P064R001A097,1.7
268,S010C001P013R002A009,S013C003P037R001A048,1
269,S011C002P002R002A023,S011C001P038R002A007,1.454545455
270,S026C001P071R001A098,S020C003P052R001A096,1.3
271,S008C003P032R001A027,S002C003P013R001A027,3.5
272,S028C001P073R001A080,S001C002P004R002A035,1.3
273,S008C002P035R002A009,S001C002P004R002A027,2
274,S004C003P003R001A048,S013C001P019R001A048,2
275,S020C003P052R001A100,S020C001P053R001A100,3
276,S008C003P032R001A027,S025C001P055R002A099,1.3
277,S019C003P046R001A101,S030C001P095R001A101,3.9
278,S008C003P031R001A035,S008C001P035R002A035,3.7
279,S026C002P072R002A101,S023C002P055R002A101,3.9
280,S025C002P055R002A099,S018C003P043R001A099,3.5
281,S011C001P028R002A048,S011C002P028R002A048,4
282,S021C001P060R001A104,S025C002P066R002A104,2.6
283,S014C002P039R002A023,S013C001P037R001A023,3.4
284,S002C001P011R001A008,S027C001P011R002A080,1.5
285,S013C001P019R001A048,S008C002P025R002A035,2.4
286,S005C003P021R001A040,S001C001P005R001A040,3.555555556
287,S022C002P064R002A098,S029C003P051R001A097,2
288,S006C003P001R001A008,S016C001P039R001A035,1.888888889
289,S014C002P037R002A026,S007C001P028R002A009,1.1
290,S028C002P073R002A104,S023C002P068R002A104,1.5
291,S019C001P046R001A101,S026C001P049R002A101,3.4
292,S016C003P040R001A040,S020C001P052R001A096,1.444444444
293,S027C001P085R002A102,S023C003P066R001A102,3
294,S008C001P032R002A048,S003C003P002R001A048,2.8
295,S008C003P031R001A009,S006C001P023R001A026,1
296,S023C002P055R002A101,S002C001P013R002A035,1.1
297,S008C002P030R002A048,S006C001P023R001A039,1
298,S005C001P010R002A023,S032C002P105R002A104,1.222222222
299,S008C001P033R002A048,S004C003P003R001A048,2.3
300,S023C003P066R001A097,S032C001P104R002A097,3.6
301,S002C001P013R001A022,S008C001P033R001A022,3.111111111
302,S030C003P092R001A097,S032C003P105R001A098,2
303,S008C002P031R002A040,S011C001P002R002A040,3.888888889
304,S031C002P100R002A080,S002C001P011R002A048,1.083333333
305,S008C003P032R001A027,S026C002P072R002A099,2.2
306,S032C001P106R002A098,S023C001P056R002A098,3.6
307,S006C003P023R001A023,S001C002P005R002A023,3.363636364
308,S012C003P008R001A027,S007C001P015R002A027,3.545454545
309,S026C001P049R002A101,S014C002P037R002A008,1
310,S008C003P031R001A027,S006C001P024R001A026,1.5
311,S011C001P028R001A023,S008C001P036R002A007,1.5
312,S031C002P006R002A080,S010C002P021R002A008,1.666666667
313,S001C003P006R001A007,S002C001P013R001A023,1.7
314,S023C003P066R001A097,S032C001P105R002A104,2.3
315,S003C001P019R001A022,S006C001P022R002A022,3.636363636
316,S030C003P088R001A080,S001C001P002R001A008,2
317,S006C002P023R002A022,S004C001P020R002A022,2.5
318,S024C003P061R001A100,S020C001P053R001A100,3.9
319,S008C002P001R002A035,S008C002P033R002A048,2.3
320,S026C001P071R001A104,S019C002P050R002A095,1.777777778
321,S008C003P036R001A023,S011C001P015R002A022,1.3
322,S005C002P004R002A048,S013C001P018R002A048,2.909090909
323,S002C001P011R002A023,S008C002P015R002A007,1.25
324,S001C001P004R001A039,S024C001P060R002A096,1.3
325,S031C002P051R002A099,S016C002P040R002A026,1.5
326,S011C001P028R001A007,S008C001P015R002A007,3.818181818
327,S025C002P055R002A099,S028C001P073R001A100,1.4
328,S022C002P064R002A102,S030C003P092R001A101,1.1
329,S005C003P021R001A040,S005C003P018R001A007,1
330,S030C002P092R002A080,S027C002P011R002A080,3.222222222
331,S032C002P043R002A098,S027C003P083R001A098,3.888888889
332,S008C002P033R002A040,S017C002P003R002A007,1.1
333,S002C001P012R001A048,S016C001P021R002A039,1
334,S001C002P006R002A048,S008C001P031R002A039,1
335,S008C001P036R001A023,S015C001P019R002A023,2.9
336,S030C002P095R002A080,S008C003P030R001A035,1.2
337,S028C003P087R001A097,S023C002P055R002A098,1.9
338,S025C001P068R001A097,S026C001P076R002A098,1.3
339,S030C001P092R001A097,S027C001P086R002A098,2.5
340,S031C003P099R001A104,S029C003P080R001A104,1.1
341,S032C001P106R001A099,S031C001P051R002A099,3.6
342,S002C001P011R002A026,S011C001P038R002A026,4
343,S008C003P001R001A026,S007C003P016R001A026,3.8
344,S030C001P095R001A100,S030C003P095R001A099,1.8
345,S023C001P055R002A101,S027C003P084R001A101,3.8
346,S008C001P030R001A026,S008C003P030R001A026,3.9
347,S012C003P037R001A035,S001C002P005R002A035,3.090909091
348,S005C001P010R002A009,S010C001P013R002A009,3.5
349,S007C001P016R001A023,S014C001P037R001A007,1.666666667
350,S001C001P004R002A027,S001C002P004R002A027,4
351,S031C001P082R002A098,S031C002P051R002A098,3.8
352,S031C002P051R002A098,S026C002P076R002A098,4
353,S007C002P007R002A048,S004C003P003R001A035,1.9
354,S007C003P016R001A023,S019C001P050R002A104,1.4
355,S005C003P018R001A008,S002C002P011R002A048,1
356,S021C003P059R001A095,S008C003P036R001A040,1.125
357,S001C002P004R002A023,S011C003P028R001A023,3.6
358,S019C002P050R002A100,S029C003P006R001A099,1.4
359,S006C002P022R002A008,S008C001P032R002A008,3.7
360,S026C003P008R001A098,S020C003P053R001A097,1.3
361,S016C002P039R002A026,S002C001P009R002A026,3.6
362,S019C003P051R001A096,S026C002P076R002A098,1.2
363,S030C001P095R002A097,S029C002P080R002A098,2.363636364
364,S026C003P071R001A100,S017C001P003R002A026,1.25
365,S025C002P055R002A099,S016C001P040R002A027,1.3
366,S008C002P029R002A008,S007C002P007R002A048,1.2
367,S001C002P006R002A027,S016C001P021R001A027,3
368,S021C001P060R002A080,S002C001P003R002A008,1.7
369,S028C003P046R001A099,S007C001P015R002A027,1.3
370,S002C001P011R002A048,S008C001P032R002A048,2.888888889
371,S001C002P006R002A048,S013C001P028R002A035,3
372,S005C002P010R002A009,S005C001P010R002A009,4
373,S008C003P033R001A022,S019C002P050R002A104,1.363636364
374,S002C001P014R002A008,S007C001P026R002A008,3.777777778
375,S016C003P025R001A048,S002C001P012R001A048,3.363636364
376,S002C001P014R001A039,S010C003P021R001A048,1.6
377,S007C001P028R001A026,S005C001P004R001A026,3.777777778
378,S017C003P003R001A039,S013C001P037R001A048,1.777777778
379,S032C001P044R001A097,S025C001P059R001A104,2.2
380,S005C002P010R002A023,S023C001P064R002A104,1.3
381,S007C001P028R001A026,S009C003P017R001A027,1.4
382,S031C001P051R002A099,S002C002P011R002A027,1.2
383,S031C002P085R002A099,S020C003P052R001A100,1.666666667
384,S024C003P061R001A100,S016C003P021R001A027,1.272727273
385,S015C003P015R001A040,S008C001P001R002A007,1
386,S026C002P072R002A100,S002C002P009R002A026,1.818181818
387,S008C003P031R001A009,S017C002P007R002A009,4
388,S018C003P008R001A095,S029C001P080R001A104,1.9
389,S008C001P007R001A039,S008C002P029R002A039,4
390,S004C002P020R002A035,S013C003P015R001A048,2.4
391,S008C002P030R002A027,S003C001P002R001A027,3.9
392,S002C003P013R001A023,S012C001P028R002A022,1.4
393,S028C001P073R001A080,S008C003P034R001A008,1.6
394,S002C002P010R002A040,S008C003P007R001A039,1.4
395,S023C003P059R001A099,S027C002P084R002A099,3.818181818
396,S008C001P029R001A022,S011C001P018R002A022,1.727272727
397,S026C001P071R001A096,S029C001P006R002A096,4
398,S027C003P083R001A080,S001C001P002R001A008,2.090909091
399,S012C003P008R001A009,S016C003P021R001A009,3.8
400,S030C001P095R001A098,S027C002P086R002A098,3.7
401,S032C001P105R001A101,S002C002P003R002A008,1.1
402,S022C003P061R001A101,S028C001P043R002A101,3.2
403,S031C001P097R002A100,S032C002P105R002A099,1.9
404,S021C003P058R001A098,S021C001P058R001A098,3.9
405,S011C001P038R001A039,S002C003P012R001A026,1
406,S015C001P019R002A023,S007C002P027R002A023,2.3
407,S027C003P083R001A098,S027C001P086R002A098,3.5
408,S032C001P105R001A100,S021C002P058R002A099,1.9
409,S002C003P013R001A039,S002C002P012R002A039,3.8
410,S020C003P052R001A100,S002C001P014R002A027,1.2
411,S016C002P039R002A026,S006C001P023R001A027,1.6
412,S006C003P023R001A027,S019C002P008R002A100,1.2
413,S010C002P013R002A026,S001C001P005R002A026,3.333333333
414,S010C003P021R001A048,S008C001P035R002A048,3.2
415,S008C001P031R001A007,S011C003P028R001A007,3.888888889
416,S014C002P039R002A023,S006C001P022R002A022,1.2
417,S030C001P044R002A102,S030C002P044R002A102,4
418,S031C001P096R001A080,S026C001P050R002A080,2.454545455
419,S027C001P083R001A100,S025C002P066R002A099,1.5
420,S001C002P004R002A035,S001C003P005R001A048,2
421,S027C001P079R001A096,S003C003P017R001A039,1.363636364
422,S001C003P008R001A048,S008C003P036R001A048,1.916666667
423,S019C003P051R001A100,S027C002P084R002A100,3.5
424,S008C002P033R002A007,S019C003P046R001A095,1.25
425,S017C002P003R002A007,S004C001P003R001A023,1.3
426,S007C002P018R002A035,S030C002P095R002A080,1.333333333
427,S008C001P033R002A007,S015C002P019R002A023,1.3
428,S026C002P050R002A101,S013C001P008R001A008,1.1
429,S031C001P097R001A101,S027C002P081R002A101,3.4
430,S008C001P036R001A040,S004C001P020R002A039,1.666666667
431,S013C001P018R002A048,S017C001P020R001A048,3.5
432,S028C003P073R001A095,S008C001P032R001A022,2
433,S032C001P102R002A096,S024C001P060R002A096,3.090909091
434,S008C003P030R001A039,S013C002P019R002A039,3.909090909
435,S021C002P060R002A080,S006C001P023R002A008,1.9
436,S010C003P008R001A039,S017C003P020R001A048,1
437,S010C001P025R002A027,S027C002P084R002A100,1
438,S015C001P008R002A007,S014C001P017R001A023,1.3
439,S026C001P072R002A102,S027C002P084R002A102,3.2
440,S027C001P083R001A098,S024C002P061R002A098,4
441,S006C003P001R001A008,S008C003P025R001A008,3.444444444
442,S027C001P084R001A098,S027C001P011R002A097,1.4
443,S017C001P003R001A039,S025C003P068R001A096,1.8
444,S008C003P036R001A035,S006C001P022R001A035,2.5
445,S016C003P039R001A035,S008C001P031R002A048,2
446,S011C002P038R002A026,S030C003P092R001A099,1.7
447,S026C001P050R001A102,S017C002P020R002A026,1
448,S005C001P010R002A009,S013C001P018R002A009,3.888888889
449,S021C001P058R002A099,S024C003P061R001A099,3.8
450,S025C001P066R002A099,S027C001P086R002A099,3.818181818
451,S029C001P075R002A101,S002C002P014R002A048,1.454545455
452,S001C003P002R001A008,S008C003P033R001A035,1
453,S008C002P029R002A048,S029C001P075R002A101,1.9
454,S008C001P029R002A026,S008C002P029R002A026,4
455,S003C001P002R001A048,S003C003P002R001A048,3.909090909
456,S032C001P105R001A101,S002C003P009R001A048,1.555555556
457,S008C001P032R002A048,S016C002P021R002A039,1.3
458,S003C003P002R001A039,S001C002P003R002A040,1.5
459,S030C001P011R002A095,S016C001P008R002A022,2.4
460,S002C001P014R002A008,S005C003P010R001A035,1.555555556
461,S030C001P043R002A080,S031C001P096R001A080,2.9
462,S001C003P006R001A039,S028C001P073R002A096,1.1
463,S010C002P025R002A027,S031C002P097R002A099,1.444444444
464,S016C001P040R001A008,S016C003P040R001A008,3.818181818
465,S005C003P021R001A007,S014C003P017R001A007,1.636363636
466,S014C001P039R001A007,S011C001P016R001A007,3.727272727
467,S008C002P029R002A039,S006C001P022R002A026,1
468,S012C003P008R001A027,S002C003P012R001A027,3.9
469,S022C003P061R001A101,S027C003P084R001A101,3.444444444
470,S002C002P011R002A007,S031C003P043R001A095,1.1
471,S013C002P007R002A035,S016C001P021R001A035,3.2
472,S007C002P027R002A023,S013C001P037R001A023,3.2
473,S026C001P071R001A100,S026C001P072R002A100,4
474,S031C002P097R002A100,S025C001P066R002A100,3.1
475,S026C002P072R002A099,S013C003P027R001A026,1.9
476,S001C002P001R002A022,S023C002P061R002A104,2.4
477,S001C002P005R002A027,S002C003P013R001A027,3.6
478,S023C002P061R002A102,S026C001P049R002A101,1
479,S013C003P027R001A048,S001C001P008R001A048,2.111111111
480,S008C003P036R001A040,S008C002P029R002A039,2
481,S008C002P029R002A007,S011C001P016R001A007,1.8
482,S011C001P038R001A048,S023C001P059R001A101,1.090909091
483,S030C001P076R001A096,S028C001P043R001A096,3.9
484,S002C003P014R001A039,S015C003P025R001A039,3.9
485,S008C001P029R001A022,S021C003P060R001A104,1.363636364
486,S002C002P012R002A009,S014C001P037R002A026,1.7
487,S008C001P033R002A009,S013C002P018R002A009,3.9
488,S031C002P096R002A098,S010C001P008R002A040,1.1
489,S001C003P006R001A022,S008C002P034R002A007,1.3
490,S002C002P011R002A007,S005C001P010R002A022,1.3
491,S011C003P038R001A022,S020C003P053R001A104,1.1
492,S023C002P068R002A080,S002C003P012R001A048,1
493,S029C001P006R002A096,S029C001P008R001A096,2.4
494,S029C003P006R001A099,S026C002P072R002A100,1.444444444
495,S006C003P022R001A023,S012C002P037R002A022,1.5
496,S029C003P044R001A096,S013C002P019R002A039,1.4
